场次号,联赛,主队,客队,比分,赔率
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:5,350.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:5,350.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:5,500.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:1,6.70
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:2,7.50
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:1,8.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:0,9.50
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:1,10.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:2,11.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:0,12.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:2,12.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:3,16.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:0,16.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:3,22.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:3,24.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,3:1,25.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,3:2,33.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,3:0,40.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:4,50.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:4,50.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,3:3,50.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:4,75.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,4:1,75.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,4:0,100.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,4:2,100.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,1:5,150.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,0:5,175.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2:5,200.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,5:0,300.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,5:1,300.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,5:2,350.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:2,7.25
周六017,法甲,斯特拉斯堡,朗斯,23:15,1:1,7.30
