场次号,联赛,主队,客队,更新时间,比分,赔率
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,3:2,22.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,3:3,41.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,4:0,80.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,4:1,50.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,4:2,60.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,5:0,250.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,5:1,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,5:2,200.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:0,20.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:1,12.50
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:2,14.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:3,23.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:4,55.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,0:5,125.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:0,15.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:1,8.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:2,7.25
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:3,14.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:4,31.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1:5,80.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:0,19.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:1,9.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2:2,11.00
