match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScaling_away,TempScaling_draw,TempScaling_home,VectorScaling_away,VectorScaling_draw,VectorScaling_home,Isotonic-OVR_away,Isotonic-OVR_draw,Isotonic-OVR_home,Temp_plus_DrawCal0.95_away,Temp_plus_DrawCal0.95_draw,Temp_plus_DrawCal0.95_home
2017-12-02_巴塞罗那_维戈塞尔塔,2017-12-02,巴塞罗那,维戈塞尔塔,西甲,1,0.07064616438314082,0.106092197061046,0.8232616385558131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_马德里竞技_皇家社会,2017-12-02,马德里竞技,皇家社会,西甲,2,0.08696478108018586,0.18378014449858732,0.7292550744212268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_勒沃库森_多特蒙德,2017-12-02,勒沃库森,多特蒙德,德甲,1,0.2591880289594974,0.42721877136090075,0.31359319967960186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_那不勒斯_尤文图斯,2017-12-02,那不勒斯,尤文图斯,意甲,0,0.1475200384123338,0.2197381712181647,0.6327417903695016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_罗马_费拉拉SPAL,2017-12-02,罗马,费拉拉SPAL,意甲,2,0.06559208040034178,0.11057857650223032,0.8238293430974278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_沃特福德_托特纳姆热刺,2017-12-02,沃特福德,托特纳姆热刺,英超,1,0.7537999599195542,0.07329052345276196,0.17290951662768395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_斯托克城_斯旺西,2017-12-02,斯托克城,斯旺西,英超,2,0.20121740866176427,0.1682595642253883,0.6305230271128475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_西布罗姆维奇_水晶宫,2017-12-02,西布罗姆维奇,水晶宫,英超,1,0.3839004115609367,0.31759609305857106,0.2985034953804922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_埃弗顿_哈德斯菲尔德,2017-12-02,埃弗顿,哈德斯菲尔德,英超,2,0.0887074611706781,0.22345096332966996,0.687841575499652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_布赖顿_利物浦,2017-12-02,布赖顿,利物浦,英超,0,0.6965792127084393,0.09955669871037415,0.20386408858118657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_切尔西_纽卡斯尔联,2017-12-02,切尔西,纽卡斯尔联,英超,2,0.06604102578738599,0.10371900315583223,0.8302399710567818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_莱切斯特城_伯恩利,2017-12-02,莱切斯特城,伯恩利,英超,2,0.14378858638389533,0.20305507912645737,0.6531563344896474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-03_特鲁瓦_甘冈,2017-12-03,特鲁瓦,甘冈,法甲,0,0.29472711416435077,0.3436776037194544,0.36159528211619485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
