match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScalingon raw_away,TempScalingon raw_draw,TempScalingon raw_home,Mono-Pooledon raw_away,Mono-Pooledon raw_draw,Mono-Pooledon raw_home,Mono-OVRon raw_away,Mono-OVRon raw_draw,Mono-OVRon raw_home,Mono-Pooledon Temp_away,Mono-Pooledon Temp_draw,Mono-Pooledon Temp_home
2025-10-20_Levante UD_Rayo Vallecano,2025-10-20,莱万特,巴列卡诺,西甲,0,0.421829850391567,0.2574342492937538,0.32073590031467925,0.42100035838454786,0.33747398905868353,0.24152565255676867,0.4087200583966174,0.3250964187307953,0.2661835228725873,0.3923094859656375,0.25839728387646027,0.34929323015790226,0.4083576763575125,0.32493660479002845,0.26670571885245903
2025-10-20_AC Milan_Fiorentina,2025-10-20,AC米兰,佛罗伦萨,意甲,2,0.14986025809636713,0.19666299945568252,0.6534767424479504,0.1857990074999687,0.3034260600348979,0.5107749324651334,0.19778128115097757,0.29724852170559063,0.5049701971434319,0.15861667229633197,0.2585247412807401,0.5828585864229279,0.2072318794987367,0.293449091838083,0.4993190286631802
2025-10-20_Nantes_Lille,2025-10-20,南特,里尔,法甲,0,0.6306663288620968,0.17782105599150094,0.19151261514640225,0.5824709582038874,0.28731465576850024,0.13021438602761243,0.5891823733654866,0.27926998337920517,0.1315476432553082,0.575165956269853,0.24820770341246154,0.17662634031768532,0.5895780718522187,0.2814153912904665,0.12900653685731478
2025-10-20_Atalanta_Lazio,2025-10-20,亚特兰大,拉齐奥,意甲,1,0.22723999563045214,0.3536407225518491,0.4191192818176987,0.27368931765185445,0.3949815798096714,0.33132910253847425,0.30012544358110727,0.3673822729002674,0.3324922835186252,0.2536046663759662,0.3053079160528394,0.4410874175711944,0.29746981043880094,0.36887063333280184,0.33365955622839716
2025-10-21_Cremonese_Udinese,2025-10-21,克雷莫纳,乌迪内斯,意甲,1,0.373713020269729,0.38235131844756864,0.24393566128270236,0.40114141543781673,0.410983994140866,0.18787459042131724,0.3650123758363991,0.410453197387267,0.22453442677633384,0.41913994573207103,0.30086778282747667,0.2799922714404523,0.3619982949533483,0.4115078241822101,0.22649388086444158
2025-10-21_West Ham United_Brentford,2025-10-21,西汉姆联,布伦特福德,英超,0,0.28317963927251444,0.33786277225353556,0.37895758847395,0.32075861921198195,0.3849284550895899,0.29431292569842815,0.3255587396871473,0.36200085804798854,0.3124404022648641,0.3060878288842367,0.28754468580898945,0.4063674853067739,0.32343746058247214,0.3635397207446935,0.31302281867283444
2025-10-21_Deportivo Alavés_Valencia,2025-10-21,阿拉维斯,巴伦西亚,西甲,1,0.2498617305222532,0.41329861714682997,0.33683965233091684,0.29926129500995335,0.42901859966078915,0.27172010532925744,0.30329637605256377,0.4055384161590891,0.29116520778834715,0.2768052523119578,0.3144497687125765,0.4087449789754657,0.30616241112900455,0.40589304529239945,0.28794454357859606
2025-10-25_Girona FC_Real Oviedo,2025-10-25,赫罗纳,奥维耶多,西甲,1,0.22263446965605524,0.2714491211825915,0.5059164091613534,0.26368041767698513,0.3482687854843146,0.3880507968387003,0.29581137832293775,0.33454178424097847,0.3696468374360838,0.2310482938840952,0.2667389336137848,0.5022127725021198,0.29746981043880094,0.33365955622839716,0.36887063333280184
2025-10-25_Real Sociedad_Sevilla,2025-10-25,皇家社会,塞维利亚,西甲,2,0.20956101151528492,0.3915360209833328,0.3989029675013823,0.2592431054652875,0.41722595775585347,0.3235309367788591,0.2814709428689973,0.4002052929362863,0.31832376419471636,0.24702752120824958,0.32332450363490856,0.42964797515684183,0.2831833679955685,0.3991815860907445,0.3176350459136869
2025-10-25_Newcastle United_Fulham,2025-10-25,纽卡斯尔联,富勒姆,英超,2,0.12074267977702619,0.25016694763830555,0.6290903725846683,0.15089183440380455,0.34199794223815655,0.507110223358039,0.16621488696279058,0.3129356403297455,0.5208494727074638,0.14368924480368628,0.2738050007635505,0.5825057544327632,0.17907898949779583,0.30784836344579,0.5130726470564142
